coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,#NAME?
831,0.000643869,0.006611814,0.922423869,38118,1,0.959334161,0.72164982,DNAJB8,0.035069468
832,-0.000971181,0.006219878,0.875922392,34728,1,0.127755675,0.042297263,DNAJC21,0.057534371
833,-0.0075024,0.006074839,0.216840701,33861,1,0.065641902,7.90E-13,DNAJC6,0.663859197
834,-0.00778265,0.006133674,0.204506713,34650,1,0.075375861,1.11E-26,DNAJC9,0.689292433
835,0.075685653,0.006307563,4.11E-33,38671,1,0.216053177,9.91E-07,DNER,32.38627789
836,-0.004539792,0.006125601,0.458627184,33653,1,0.303631224,0.152284305,DNLZ,0.338540207
837,-0.005481604,0.006177476,0.374894875,34650,1,0.161247352,0.000153737,DNM1,0.426090496
838,-0.012412122,0.006125909,0.042755164,34740,1,0.433597959,5.53E-59,DNM3,1.369011428
839,-0.005635931,0.006645989,0.396432187,38586,1,1.216036242,1.50E-40,DNMBP,0.401831092
840,0.007032079,0.00608556,0.247879266,34728,1,0.040577389,1.24E-38,DNPEP,0.605759799
841,-0.013206351,0.006696523,0.048602942,38864,1,0.519486602,1.56E-20,DNPH1,1.313337442
842,-0.008532426,0.006157204,0.165828435,33838,1,0.079461449,0.035362874,DOC2B,0.780340997
843,0.005247496,0.006147841,0.393359862,33653,1,0.058035795,0.203892182,DOCK9,0.405209957
844,0.001527868,0.006199103,0.805322989,34728,1,0.109227909,0.002817752,DOK1,0.094029903
845,0.001302474,0.006710622,0.846105341,38687,1,0.872134452,0.933101321,DOK2,0.072575564
846,-0.013639252,0.006485029,0.035455596,38518,1,0.738386407,9.23E-12,DPEP1,1.450315213
847,0.014829225,0.006655116,0.02586994,38703,1,0.795063157,0.162272976,DPEP2,1.587204584
848,-0.035183978,0.006434913,4.59E-08,38749,1,0.097828764,8.37E-24,DPP10,7.338374704
849,0.07378235,0.006481899,5.69E-30,38038,1,0.280592842,8.20E-08,DPP4,29.24454223
850,-0.00334143,0.006249853,0.592900883,38703,1,0.480653149,2.19E-30,DPP6,0.227017903
851,-0.009799083,0.006584851,0.13672608,38443,1,0.748294225,0.00079323,DPP7,0.864148637
852,-0.035681913,0.005884777,1.34E-09,39121,1,0.001273529,0.032348561,DPT,8.871374766
853,-0.03021809,0.006523924,3.64E-06,39026,1,0.259396348,1.40E-41,DPY30,5.439479995
854,-0.046248301,0.00647714,9.48E-13,38586,1,0.039609457,0.000479856,DRAXIN,12.02312135
855,-0.002158176,0.00673569,0.748659991,38703,1,0.505710179,0.030058124,DRG2,0.125715375
856,-0.039143888,0.006136326,1.80E-10,38432,1,0.127197037,7.75E-26,DSC2,9.744192037
857,-0.027509422,0.006092948,6.35E-06,34740,2,0.031287202,1.84E-18,DSCAM,5.196977697
858,0.022773643,0.006355768,0.000339896,38843,1,1.298453619,3.52E-14,DSG2,3.468653703
859,-0.011343657,0.006362341,0.074604249,39014,1,0.029842438,6.75E-05,DSG3,1.127236434
860,-0.016044301,0.006418703,0.012436868,38635,1,0.470203954,1.28E-05,DSG4,1.905288983
861,0.000460189,0.006136826,0.940224679,33976,1,0.060490118,7.24E-05,DTD1,0.026768353
862,0.025169521,0.005764663,1.27E-05,34558,1,0.006317342,9.89E-158,DTNB,4.896849762
863,0.002712243,0.006096639,0.656412812,33838,1,0.073306055,0.028068552,DTX2,0.182822951
864,0.003605631,0.006111287,0.555197174,38703,1,0.344156163,1.21E-17,DTX3,0.255552753
865,-0.012421363,0.006108133,0.04200177,34781,1,0.079617779,3.31E-33,DTYMK,1.37673241
