coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,-LOG10P
405,-0.044747082,0.00995125,6.92499865084661e-06,36785,1,0.069580284,4.96983702202759e-05,CCN3,5.159580307
406,-0.036903695,0.010726897,0.000581723,36880,1,3.025456259,6.56139205850305e-11,CCN4,3.23528386
407,-0.002055215,0.00953757,0.829389443,36562,1,0.630678479,8.79593662052199e-55,CCN5,0.081241497
408,-0.000578256,0.009881567,0.953335865,32262,1,0.137834979,0.000273814,CCND2,0.020754068
409,-0.023332695,0.009877011,0.018166765,31885,1,0.095530265,3.96733654117302e-05,CCNE1,1.740722401
410,-0.011002075,0.010602937,0.299442658,36327,1,3.045990671,2.61022138105638e-28,CCS,0.523686332
411,-0.021313724,0.010637693,0.04512001,35873,1,2.446939213,0.044309368,CCT5,1.34563081
412,-0.061959837,0.009758828,2.194086763316e-10,32712,1,0.094596094,0.005613515,CD101,9.658746203
413,0.014592403,0.01078113,0.175900056,36562,1,0.284608202,0.426286799,CD109,0.754734022
414,-0.037272836,0.010087205,0.000220163,35662,1,0.046717807,3.73427711948938e-25,CD14,3.657255762
415,0.011082814,0.010805332,0.305049122,36881,1,0.775180718,0.010273492,CD160,0.51563022
416,-0.076608643,0.010277344,9.24620904830859e-14,36563,1,0.537924458,1.73632392638048e-27,CD163,13.03403629
417,-0.039900269,0.010789461,0.000217556,36562,1,0.350020563,0.002310442,CD164,3.662429211
418,0.011241212,0.009925426,0.257404567,31950,1,0.070811846,0.024596856,CD164L2,0.589383753
419,-0.005915019,0.010867336,0.586242902,36500,1,1.11682981,0.00541506,CD177,0.231922402
420,-0.017763104,0.010576304,0.093059459,36684,1,0.075911249,0.006622285,CD1C,1.031239477
421,-0.014502594,0.009870229,0.141754016,31776,1,0.097218149,5.16096944844268e-08,CD2,0.848464629
422,-0.012195792,0.010415518,0.241636536,36491,1,0.626142825,2.87771847941304e-12,CD200,0.6168374
423,-0.021849561,0.010704766,0.041247513,36356,1,0.969656939,2.83626623328737e-13,CD200R1,1.384602228
