coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,-LOG10P
347,-0.023128848,0.011179548,0.038570705,23578,1,0.184746436,4.53E-12,CALCOCO2,1.413742428
348,-0.009405288,0.011310572,0.405672342,23437,1,0.095834837,0.016169563,CALY,0.391824601
349,-0.019558939,0.012053289,0.104664279,26511,1,1.307351558,2.23E-07,CAMKK1,0.980201515
350,0.010147727,0.011279142,0.368294656,23599,1,0.161365492,0.002734516,CAMLG,0.433804582
351,-0.00784418,0.011327937,0.488653097,24221,1,0.203857085,1.56E-06,CAMSAP1,0.310999345
352,-0.019666937,0.011912953,0.098773377,26892,1,0.447965353,0.001382576,CANT1,1.005360099
353,-0.062388185,0.011776544,1.18E-07,26851,1,0.091004155,1.11E-07,CAPG,6.92731992
354,0.081563247,0.011347358,6.77E-13,24120,1,0.060413003,0.024888791,CAPN3,12.16921668
355,0.074741419,0.010737649,3.47E-12,24194,2,0.001579308,1.32E-93,CAPS,11.4593342
356,-0.033905721,0.011950469,0.004554743,26501,1,0.500839526,4.28E-35,CARHSP1,2.341536127
357,-0.035431719,0.011186333,0.001539986,23599,1,0.109988822,0.014855607,CASC3,2.812483304
358,-0.042944211,0.012045818,0.000364396,26501,1,0.392202458,0.67553266,CASP1,3.438426265
359,-0.017630675,0.012032547,0.142864923,26501,1,1.088065165,0.000444699,CASP10,0.845074389
360,-0.011615063,0.012359161,0.347331767,26957,1,0.350340745,0.796032925,CASP2,0.459255494
361,-0.003271101,0.012589724,0.795002174,27233,1,0.723795882,0.220799959,CASP3,0.099631684
362,-0.014142798,0.011389819,0.214357583,23799,1,0.08238076,7.39E-10,CASP4,0.668861148
363,-0.01586269,0.011389081,0.163693663,24194,1,0.089982717,1.53E-07,CASP7,0.785968133
364,-0.009823458,0.012441189,0.429773202,27171,1,1.480471277,5.20E-17,CASP8,0.366760668
365,-0.007000247,0.011209678,0.532316866,23501,1,0.037113072,0.105765713,CASP9,0.273829773
366,0.019227514,0.011288237,0.088520889,23437,1,0.157919364,0.003085437,CASQ2,1.052954235
367,-0.006768895,0.01099508,0.538144978,23875,1,0.087298259,7.17E-89,CAT,0.269100708
368,-0.082548271,0.012142125,1.08E-11,26878,1,0.091696395,1.82E-11,CBLIF,10.966882
369,-0.007603443,0.011262242,0.499601806,23442,1,0.129728043,0.338171578,CBLN1,0.301376
370,-0.141478945,0.012548457,2.04E-29,27259,1,0.384875903,0.178870526,CBLN4,28.69137093
371,-0.064650521,0.011015405,4.44E-09,23578,2,0.027720499,9.81E-33,CBS,8.352585713
372,0.000800698,0.011293581,0.943479132,23437,1,0.026526301,0.049914015,CBX2,0.025267701
373,-0.027936114,0.012146049,0.021454921,26841,1,2.610349845,1.89E-09,CC2D1A,1.66847307
374,-0.032456118,0.011373737,0.004326337,24194,1,0.080743012,4.37E-08,CCAR2,2.363879679
375,-0.015157554,0.011380632,0.182914573,24120,1,0.044989278,0.426768012,CCDC134,0.737751692
376,-0.005260483,0.011407529,0.644701439,23599,1,0.070613718,0.020935519,CCDC28A,0.190641361
377,-0.028686599,0.011392954,0.011811258,24221,1,0.056976835,2.76E-14,CCDC50,1.927703829
378,-0.100235765,0.010926081,4.88E-20,26924,1,0.056195373,0.002864141,CCDC80,19.31200508
379,-0.124324806,0.010914105,5.54E-30,23578,1,0.106036633,5.78E-51,CCER2,29.25635047
380,-0.068313918,0.011818045,7.53E-09,27250,1,0.011719981,9.28E-12,CCL11,8.123192312
381,-0.031885596,0.012395867,0.010108482,27206,1,0.683773942,0.009373541,CCL13,1.995314075
