coding,beta,se,pvalue,n,protein,-Log10P
1799,-0.00173291591797702,0.00531640909737346,0.744464855472954,9387,MYOC,0.128155799502708
1800,-0.00108344285556004,0.0051682677944367,0.833959000719292,7940,MYOM1,0.0788552997208365
1801,-0.0149509790274053,0.00502595288715907,0.00294105518043734,7950,MYOM2,2.53149682713025
1802,-0.0451049548601561,0.00467132395813738,6.12377583702317e-22,8010,MYOM3,21.2129807151857
1803,0.00430188773214784,0.00525880997735977,0.413358277467285,9403,MZB1,0.383673361235986
1804,0.00556196442203193,0.00541642571943028,0.304508896099788,9161,MZT1,0.516400015114481
1805,-0.00177216426702449,0.00516161882189826,0.731355567997093,7950,NAA10,0.135871427864303
1806,0.000176790241276694,0.00507380869565185,0.972205252088667,7975,NAA80,0.0122420370909712
1807,-0.00517577673149188,0.00537750700251023,0.335830571139212,9257,NAAA,0.473879771947999
1808,0.00297817527522789,0.00515567408099949,0.563516409156283,8151,NACC1,0.249093433118731
1809,0.0179535777342866,0.00535627579509042,0.000805844664780692,9350,NADK,3.09374866505609
1810,-0.00445764172105281,0.00508770152841868,0.380969464377269,7948,NAGA,0.419109832681095
1811,0.00437104870091202,0.00504582979371112,0.386368496817966,7967,NAGK,0.412998291717938
1812,0.00181743588181241,0.00496675372725899,0.71443424938043,8010,NAGPA,0.146037733906195
1813,0.0106390532373232,0.00540201775420124,0.0489305246250591,9161,NAMPT,1.3104201277809
1814,0.00501633795167777,0.00509624145079126,0.324986924707764,8153,NAP1L4,0.488134111764199
1815,0.00720621659871098,0.00509410011993143,0.157218011139462,8185,NAPRT,0.803497701996319
1816,0.00130152692105358,0.00519086590574492,0.802026027392342,8182,NARS1,0.0958115377389553
1817,0.0194456250859894,0.00523698296820665,0.000205891395558004,9416,NBL1,3.68636180267658
1818,0.0103682440583052,0.00538279441496055,0.0541123389297116,9225,NBN,1.26670369389381
1819,-0.0142664108772259,0.00508374001709645,0.00502202627771038,9374,NCAM1,2.29912101917492
1820,0.0049439992387937,0.0052157412472958,0.343204989500371,9387,NCAM2,0.464446407021679
1821,0.00416753034602462,0.00492844717943185,0.397793323502739,9466,NCAN,0.400342510277073
1822,0.00656998556360378,0.00548528594486999,0.231045959755447,9326,NCF2,0.636301621480946
1823,0.00615141726863297,0.00552925381030853,0.265942161538372,9417,NCK2,0.575212805684816
1824,-0.0010856029829698,0.00542894327516637,0.841511743689296,9225,NCLN,0.0749398188635937
1825,0.0105767116771588,0.0051364428475246,0.0395075028128233,9331,NCR1,1.403320420303
1826,0.0107519193858466,0.00471456507258451,0.0225992862641264,8171,NCR3LG1,1.64590527662455
1827,0.0140050880482046,0.00497182728231181,0.00485919412339524,9450,NCS1,2.31343575065189
1828,0.00589076327537092,0.0054390831055589,0.278817538404425,9211,NDRG1,0.554679911374968
1829,-0.000333860003061712,0.00525488514509144,0.949343432984847,8151,NDST1,0.0225766494603318
1830,0.00252562282932218,0.00517890331605906,0.625793372589944,7953,NDUFA5,0.203569040523251
1831,-0.000529268065245934,0.00514126524116526,0.918009073986269,8171,NDUFB7,0.0371530260289436
1832,-0.00425478307204093,0.00536084889391607,0.427404017951132,9161,NDUFS6,0.369161399425569
1833,-0.00326955517069632,0.0051121297041427,0.522471879093792,7950,NEB,0.281937079538533
1834,0.00505983335814454,0.00508624169941344,0.319860043957604,7950,NECAP2,0.495040007407332
1835,-0.00571933588819873,0.00516281144961949,0.267983939060093,7966,NECTIN1,0.57189123353312
1836,0.0182792707901621,0.00517749425125204,0.000416738469992726,9336,NECTIN2,3.38013640706758
1837,0.0136035039410622,0.00535822993222489,0.0111391477906958,9416,NECTIN4,1.95314803393389
1838,0.011722063625942,0.00510705795276304,0.0217437184132118,7966,NEDD4L,1.66266618480125
1839,-0.00308109320207769,0.00509394071688704,0.545292907496647,7966,NEDD9,0.263370151048005
1840,0.0111192935092147,0.00436625338718437,0.0108926245101375,9188,NEFL,1.9628674670813
1841,0.0023023796489555,0.00513337339443378,0.653795815124557,8047,NEK7,0.18455786361819
1842,-0.0193612668323644,0.0053636803938169,0.00030814786282775,9416,NELL1,3.51124083999021
1843,0.00643345590939022,0.00523775879477001,0.219371078938425,9417,NELL2,0.658820628745652
1844,0.00136838503285974,0.00519307271400325,0.792170357242014,8151,NENF,0.101181412786413
1845,-0.00488149805984283,0.00514937776561363,0.343168581551218,8182,NEO1,0.464492480390749
1846,0.00397359812171425,0.0051756282506981,0.442656772259974,8202,NEXN,0.353932887069259
1847,0.000249103718405407,0.00513463583448354,0.961307324113358,9452,NFASC,0.0171377488250319
1848,0.00448337514514531,0.00514725575708455,0.383768211438875,7966,NFAT5,0.415931001899781
1849,0.00627590960845053,0.00550629933956566,0.254411803137078,9340,NFATC1,0.594462743973341
1850,0.00451088813052846,0.00531098379434056,0.395708219191646,9225,NFATC3,0.402624928979598
1851,0.000777805796917043,0.00512129338567591,0.879287929612668,7983,NFE2,0.0558688885598515
1852,0.00172754207479055,0.005280424783848,0.7435555008148,8182,NFIC,0.128686609121843
1853,0.00300378874970014,0.0050687072078426,0.553456144159535,7950,NFKB1,0.25691678689747
1854,0.0105304164958943,0.00519539933866251,0.0427083340372434,8047,NFKB2,1.36948736916188
1855,0.0087194713432413,0.00540632434501701,0.106816379757133,9161,NFKBIE,0.971362145315988
1856,0.000425445314578761,0.00519062906668353,0.934677261235628,8171,NFU1,0.0293383226681646
1857,-0.000135110439365505,0.00505853290825796,0.978692177805885,7950,NFX1,0.00935388276453812
1858,0.00776610376494862,0.00504445225097503,0.123713954067778,7950,NFYA,0.907581312231424
1859,0.00541482522175018,0.00546440329204724,0.321746966594983,9315,NGF,0.492485538898387
1860,0.000108620267770176,0.00522317842453538,0.983409041562228,8186,NGFR,0.00726580308009351
1861,0.0124026473936281,0.00516577986792767,0.0163759252989225,8185,NGRN,1.78579415143616
1862,0.0217213522095722,0.00467433991048819,3.42430340769598e-06,7818,NHLRC3,5.46542776197083
1863,0.00909179162992153,0.00535663162144793,0.0896740047483925,9340,NID1,1.04733343466515
1864,0.00217445054513936,0.00548209204993671,0.691637468088302,9387,NID2,0.160121487718485
1865,0.000722497860026497,0.00539647542821103,0.893497813312069,9161,NINJ1,0.0489065060208598
1866,0.00269745309665873,0.005081511833507,0.595546723615472,7983,NIT1,0.225084160272965
1867,0.00607802386525608,0.00514246733420375,0.237268992966501,8150,NIT2,0.624759012998048
1868,0.00828900700244753,0.00509385999514821,0.103722619707158,7975,NLGN1,0.984126522851441
1869,0.00171419516006951,0.00515096900448317,0.739300996529119,7940,NLGN2,0.13117870840169
1870,0.00246212584257498,0.00512175117375309,0.630729071923029,7966,NME1,0.200157150797122
1871,-0.0103026482328263,0.00542291872694994,0.0574855007679054,9388,NME3,1.24044168105895
1872,0.010868130105085,0.00523180607971305,0.0378035394905448,8121,NMI,1.42246753589695
1873,0.00826566189225171,0.00540944212558384,0.126544971067134,9315,NMNAT1,0.897755109148083
1874,-0.00120944372203538,0.00510975256685656,0.812900943590808,7913,NMRK2,0.0899623723307686
1875,0.00468705309994859,0.00519967681521178,0.367395677969393,8182,NMT1,0.434865957026084
1876,0.00313520673177229,0.00521340048610414,0.547605044827518,9387,NOMO1,0.26153255956898
1877,-0.0122820586186877,0.00512364315382399,0.016546867910803,7950,NOP56,1.78128419994173
1878,0.00332215519569221,0.00500018734804566,0.506447060348252,9211,NOS1,0.295465945368357
1879,-0.000295883881975783,0.00509741274613308,0.953713533278886,7950,NOS2,0.0205820546449592
1880,0.019453432034707,0.00502762506133972,0.000109898321025131,9211,NOS3,3.95900894247269
